2,26562
3,7515
4,3007
5,829
6,753
7,294
8,299
9,222
10,169
11,113
12,134
13,64
14,99
15,60
16,70
17,44
18,52
19,31
20,31
21,28
22,33
23,17
24,18
25,9
26,20
27,22
28,15
29,13
30,17
31,13
32,10
33,14
34,12
35,9
36,6
37,8
38,7
39,6
40,2
41,3
42,9
43,8
44,6
45,3
46,8
47,7
48,9
49,3
50,6
51,4
52,5
53,3
54,5
55,1
56,7
57,1
58,5
59,1
60,4
61,2
62,2
63,3
64,1
65,2
66,4
67,3
68,2
69,7
70,3
71,1
72,2
73,2
74,2
75,1
76,2
77,2
79,2
80,3
81,3
82,3
83,3
85,3
86,6
88,1
90,1
91,6
92,2
93,3
94,1
95,3
96,5
97,5
98,3
99,1
100,1
101,1
104,1
105,1
107,1
110,4
111,2
112,1
113,2
118,1
119,1
121,1
122,1
123,1
124,2
126,2
127,3
128,4
129,2
130,1
131,1
132,5
133,4
134,2
135,2
136,4
138,1
139,1
142,1
144,3
149,1
150,1
151,1
152,1
153,1
154,1
155,2
157,1
159,1
162,1
164,1
168,1
171,1
177,1
179,2
180,1
189,1
192,1
198,1
200,1
204,1
205,1
213,1
227,1
238,1
245,1
248,1
250,1
259,1
266,1
294,1
310,1
324,2
348,1
350,2
389,1
411,1
459,1
493,1
494,1
530,2
568,1
609,1
621,1
631,1
897,1
926,1
1100,1
1754,1
2130,1
4943,1
21429,1
